"V1" "V1" "V1" "V1" "V1"
"1" "TSPAN6" "GCLC" "DPM1" "FUCA2" "CYP51A1"
"2" "C1orf112" "CYP51A1" "SCYL3" "KMT2E" "COX10"
"3" "NFYA" "SLC7A2" "LAS1L" "GDE1" "MED24"
"4" "NIPAL3" "POLDIP2" "BAD" "MAP3K14" "DYRK4"
"5" "SEMA3F" "SKAP2" "LAP3" "TNFRSF12A" "FUZ"
"6" "ANKIB1" "SPPL2B" "SNX11" "JARID2" "ZDHHC6"
"7" "KRIT1" "FBXL3" "KLHL13" "CRY1" "AGPAT4"
"8" "MAD1L1" "COX10" "ICA1" "RANBP9" "ABCF2"
"9" "LASP1" "MED24" "CASP10" "FYN" "NSMAF"
"10" "ALS2" "DYRK4" "CFLAR" "KAL1" "OFD1"
"11" "RBM5" "FUZ" "NDUFAF7" "EHD3" "WDR37"
"12" "ARF5" "RUFY3" "PLXND1" "ZMYND11" "CELF2"
"13" "AK2" "ZDHHC6" "FKBP4" "SLC38A5" "LTBP1"
"14" "RBM6" "AGPAT4" "RECQL" "SAMD4A" "JKAMP"
"15" "CAMKK1" "B4GALT7" "CCDC132" "CD44" "HHAT"
"16" "NDUFAB1" "ABCF2" "LIG3" "ARID4A" "CDK17"
"17" "SLC25A13" "NSMAF" "RPAP3" "TRIO" "VMP1"
"18" "ST7" "OFD1" "ACSM3" "GPM6B" "CA11"
"19" "HCCS" "WDR37" "" "HDAC9" "RFXANK"
"20" "DVL2" "NOP16" "PDK2" "RSF1" "ME1"
"21" "UPF1" "CELF2" "ITGA3" "SYNE2" "ASPM"
"22" "CCDC109B" "LTBP1" "LAMP2" "ATP9A" "TRMT11"
"23" "POLR2J" "JKAMP" "C19orf60" "CASP8" "HYAL2"
"24" "MSL3" "NFE2L3" "TMEM98" "LIMCH1" "ACADVL"
"25" "CREBBP" "SDCCAG8" "SYNRG" "ABCA7" "VPS9D1"
"26" "BZRAP1" "HHAT" "TMEM132A" "PKN2" "MCM6"
"27" "GCFC2" "USP13" "ETV1" "FGFR2" "BRINP1"
"28" "IBTK" "ZC3H11A" "AGK" "TFE3" "KIF22"
"29" "ZNF195" "CDK17" "GGCT" "SIRT2" "MID2"
"30" "MYCBP2" "MPC1" "DBF4" "SDK2" "CADPS2"
"31" "ZFX" "VMP1" "IFRD1" "POLB" "DIS3"
"32" "GGNBP2" "CA11" "ELAC2" "SREBF1" "CHMP2B"
"33" "CRLF1" "RFXANK" "PNPLA4" "NSF" "ATG16L1"
"34" "OSBPL7" "TMEM161A" "CDKL3" "NUAK1" "PGS1"
"35" "AP2B1" "BTBD1" "PROM1" "WSCD2" "NOP14"
"36" "MAP3K9" "TBC1D22B" "CCDC124" "REXO2" "AURKA"
"37" "RALA" "ME1" "ST7L" "RBMS2" "EPB41L1"
"38" "JHDM1D" "ELAVL1" "RPUSD1" "MCAM" "PUS7"
"39" "PHTF2" "ASPM" "TSR3" "GPC4" "PSME1"
"40" "FARP2" "TRMT11" "DNAJC11" "IL4R" "UNC13D"
"41" "PAF1" "METTL22" "MYLIP" "SLC1A3" "MFSD11"
"42" "ARHGAP44" "RRP15" "CDK11A" "MRPL22" "CDC23"
"43" "ADIPOR2" "HYAL2" "CYB561" "EIF2AK1" "ZDHHC8"
"44" "PAFAH1B1" "VPS35" "AASS" "MMP2" "TOP3B"
"45" "KIAA0100" "ATP2B1" "MGST1" "SMOX" "TSPO"
"46" "RHBDF1" "ATP6AP1" "HEATR5B" "PXN" "GNPNAT1"
"47" "LUC7L" "RHOBTB1" "RPS20" "BRAP" "KIAA0586"
"48" "CACNA2D2" "ACADVL" "REV3L" "ZFHX4" "GSKIP"
"49" "CRAMP1L" "VPS9D1" "SPRTN" "SLC7A8" "SRP54"
"50" "E2F2" "MKRN2" "METTL13" "TBC1D2" "WFDC2"
"51" "PSMB1" "MCM6" "CD9" "IKZF5" "CDH20"
"52" "CDKL5" "PTPN23" "PHF7" "ATP5D" "AMMECR1"
"53" "CYTH3" "BRINP1" "NISCH" "MTAP" "PGK1"
"54" "ADAM22" "ITCH" "IDS" "KDELR3" "NAGPA"
"55" "SYPL1" "TP53INP2" "NME2" "PACSIN2" "SYT17"
"56" "SPAG9" "KIF22" "TSPAN9" "PYGL" "TTC23"
"57" "SS18L2" "SLC35C2" "BTBD7" "SIX4" "MYEF2"
"58" "MPND" "SESN1" "APBA3" "ARHGAP5" "DECR1"
"59" "MMP25" "MID2" "ABHD5" "RASSF2" "TSTA3"
"60" "PKD1" "CADPS2" "MBTD1" "SNTA1" "TUSC3"
"61" "SEC62" "DIS3" "RNF216" "CST3" "CCDC130"
"62" "CSDE1" "CHMP2B" "PTBP1" "CEP192" "FSD1"
"63" "UBE3C" "RAB10" "PIK3C2A" "LIPG" "ATP5SL"
"64" "MASP2" "SLC25A24" "MAP4K3" "SRPX" "TYK2"
"65" "FAM76A" "ATG16L1" "TMEM159" "KCND1" "TMEM205"
"66" "TRAF3IP3" "ZW10" "ERCC1" "ARHGEF7" "DDX49"
"67" "VTA1" "TRIP6" "UBR7" "MLYCD" "PCOLCE"
"68" "BAZ1B" "PGS1" "CLDN11" "EARS2" "SLC1A1"
"69" "NCAPD2" "NOP14" "SLC25A39" "CCP110" "MPDZ"
"70" "IFFO1" "AURKA" "MVP" "PDGFRL" "CCNY"
"71" "ZNF200" "EPB41L1" "POLR3B" "ZDHHC2" "PSMD3"
"72" "SCMH1" "ANKRD10" "ANGEL1" "JPH1" "RECQL5"
"73" "TCEB3" "YPEL3" "RNF14" "PPP2CB" "C17orf75"
"74" "LYPLA2" "NUDC" "HEBP1" "ARHGEF10" "MANBA"
