"genes"	"logFC"	"adj.P.Val"
"ENSG00000000003"	"ENSG00000000003"	0.153909986343312	0.381153651461433
"ENSG00000000419"	"ENSG00000000419"	-0.184150735939707	0.27146715128775
"ENSG00000000457"	"ENSG00000000457"	-0.00352417388169624	0.988102646841246
"ENSG00000000460"	"ENSG00000000460"	-0.0138328948161401	0.953793175805848
"ENSG00000001036"	"ENSG00000001036"	0.265261276500634	0.135847411403288
"ENSG00000001084"	"ENSG00000001084"	0.120872808434628	0.333273354722746
"ENSG00000001167"	"ENSG00000001167"	-0.251459691368851	0.174918959222252
"ENSG00000001461"	"ENSG00000001461"	2.00961037660668	1.35470718301679e-07
"ENSG00000001497"	"ENSG00000001497"	-0.231449688922783	0.0239881959368013
"ENSG00000001561"	"ENSG00000001561"	0.657375230720788	0.00356500185773194
"ENSG00000001617"	"ENSG00000001617"	-1.69271842790618	1.24161828295872e-08
"ENSG00000001629"	"ENSG00000001629"	0.166844912614255	0.280412007358697
"ENSG00000001630"	"ENSG00000001630"	-0.5290205862528	0.0498296689047428
"ENSG00000001631"	"ENSG00000001631"	-0.0165408118196231	0.932702477928659
"ENSG00000002330"	"ENSG00000002330"	0.263598313905603	0.282480408443356
"ENSG00000002549"	"ENSG00000002549"	0.00257499109118609	0.991401427639507
"ENSG00000002822"	"ENSG00000002822"	-0.0511737118480102	0.817786594401922
"ENSG00000002834"	"ENSG00000002834"	0.101148940991623	0.666444810227327
"ENSG00000002919"	"ENSG00000002919"	0.148140816426481	0.108451782702528
"ENSG00000003056"	"ENSG00000003056"	0.405173030692961	0.00326717373641612
"ENSG00000003096"	"ENSG00000003096"	0.514299447303359	0.019208418878343
"ENSG00000003147"	"ENSG00000003147"	1.99746860851402	5.66619700007992e-06
"ENSG00000003393"	"ENSG00000003393"	-0.162729695280101	0.279536617387305
"ENSG00000003400"	"ENSG00000003400"	-1.05204374736254	0.000285426519320123
"ENSG00000003402"	"ENSG00000003402"	-1.7028162118353	1.27511387368763e-05
"ENSG00000003509"	"ENSG00000003509"	0.164071840918202	0.629633813249827
"ENSG00000003756"	"ENSG00000003756"	0.0946323317644389	0.674086831685892
"ENSG00000003989"	"ENSG00000003989"	-0.0136319374396752	0.991765760206318
"ENSG00000004059"	"ENSG00000004059"	-0.346971502474102	0.0582494014639151
"ENSG00000004142"	"ENSG00000004142"	-0.194132879207116	0.130489849109095
"ENSG00000004399"	"ENSG00000004399"	-0.205467749567032	0.685222158919697
"ENSG00000004455"	"ENSG00000004455"	-0.108795422576426	0.502951113471382
"ENSG00000004478"	"ENSG00000004478"	-0.638884809120332	0.000947066584461651
"ENSG00000004487"	"ENSG00000004487"	-0.337381305048451	0.00666961691938706
"ENSG00000004534"	"ENSG00000004534"	-0.0575238035834067	0.805396364345472
"ENSG00000004660"	"ENSG00000004660"	1.95240330953292	7.21545430360242e-08
"ENSG00000004700"	"ENSG00000004700"	0.125875861399057	0.334198685877633
"ENSG00000004766"	"ENSG00000004766"	0.226799536643191	0.247566436234852
"ENSG00000004777"	"ENSG00000004777"	0.559190741818594	0.0957265294596542
"ENSG00000004779"	"ENSG00000004779"	-0.196867894095626	0.243039232629201
"ENSG00000004864"	"ENSG00000004864"	-0.510798848497653	0.000202658409268758
"ENSG00000004866"	"ENSG00000004866"	0.350896089571143	0.0386077999576214
"ENSG00000004897"	"ENSG00000004897"	0.00761754519735369	0.963760286569935
"ENSG00000004948"	"ENSG00000004948"	-6.72630339807746	6.32378481707638e-12
"ENSG00000004961"	"ENSG00000004961"	-0.0038577222642191	0.983921990645052
"ENSG00000004975"	"ENSG00000004975"	-0.156092347557492	0.241459565570297
"ENSG00000005007"	"ENSG00000005007"	-0.120791517407736	0.295702484303215
"ENSG00000005020"	"ENSG00000005020"	0.746307639210115	0.00166321097151905
"ENSG00000005022"	"ENSG00000005022"	-0.177354133975186	0.373249801980983
"ENSG00000005059"	"ENSG00000005059"	1.36402437796974	2.96324182627025e-08
"ENSG00000005075"	"ENSG00000005075"	0.060466300139173	0.768688884950364
"ENSG00000005100"	"ENSG00000005100"	-0.091946511406543	0.809755558724118
"ENSG00000005156"	"ENSG00000005156"	0.0428277988258126	0.775735036710876
"ENSG00000005175"	"ENSG00000005175"	0.0910568549910353	0.492595498384135
"ENSG00000005187"	"ENSG00000005187"	0.0289229388384653	0.912365518661859
"ENSG00000005189"	"ENSG00000005189"	0.0706140804513167	0.733328524630669
"ENSG00000005206"	"ENSG00000005206"	0.0533629499547263	0.867719557326095
"ENSG00000005238"	"ENSG00000005238"	-0.417800373616195	0.0775305106363562
"ENSG00000005249"	"ENSG00000005249"	1.84301899476557	3.59815911906189e-08
"ENSG00000005302"	"ENSG00000005302"	-0.00284438598130077	0.991188137663662
"ENSG00000005339"	"ENSG00000005339"	-0.433945292804584	0.372534328201325
"ENSG00000005379"	"ENSG00000005379"	1.20098977173665	0.0514235044638751
"ENSG00000005436"	"ENSG00000005436"	-0.0934708131689606	0.572247392681545
"ENSG00000005448"	"ENSG00000005448"	0.893828610758381	0.000119731060601998
"ENSG00000005469"	"ENSG00000005469"	1.09364460179299	0.000607016344781822
"ENSG00000005483"	"ENSG00000005483"	-0.504614908705388	0.00170727381951282
"ENSG00000005486"	"ENSG00000005486"	-0.118002794125484	0.615647324498267
"ENSG00000005700"	"ENSG00000005700"	-0.301464042011366	0.0224272077324624
"ENSG00000005801"	"ENSG00000005801"	0.142018934570855	0.372985311558032
"ENSG00000005810"	"ENSG00000005810"	-0.271293917738694	0.290151554237867
"ENSG00000005812"	"ENSG00000005812"	0.230860300633877	0.189349641624412
"ENSG00000005882"	"ENSG00000005882"	0.477943329920069	0.158965193479978
"ENSG00000005884"	"ENSG00000005884"	0.839615322391407	0.277708547787338
"ENSG00000005889"	"ENSG00000005889"	-0.0356488641402999	0.923460366595155
"ENSG00000005893"	"ENSG00000005893"	-0.295628727713591	0.0576453930738775
"ENSG00000005955"	"ENSG00000005955"	0.0987534668082821	0.454435950738481
"ENSG00000006007"	"ENSG00000006007"	0.220165899206649	0.152382350181037
"ENSG00000006015"	"ENSG00000006015"	0.112834261777365	0.687884362248595
"ENSG00000006016"	"ENSG00000006016"	-1.19907712703241	0.0486362373593109
"ENSG00000006025"	"ENSG00000006025"	-0.188495337405801	0.553168584958985
"ENSG00000006042"	"ENSG00000006042"	-0.749966795793444	0.00297224991906842
"ENSG00000006062"	"ENSG00000006062"	0.704456694534759	0.00429517187750203
"ENSG00000006114"	"ENSG00000006114"	0.15806787906911	0.415038067950384
"ENSG00000006118"	"ENSG00000006118"	-0.184936412554796	0.283690103363096
"ENSG00000006125"	"ENSG00000006125"	-0.2274403031733	0.0625312325329921
"ENSG00000006194"	"ENSG00000006194"	0.253425932558244	0.0310584752840584
"ENSG00000006282"	"ENSG00000006282"	0.469353314042143	0.0782336029660897
"ENSG00000006327"	"ENSG00000006327"	0.320732287110093	0.305564647820059
"ENSG00000006432"	"ENSG00000006432"	-0.52679935735262	0.275595319647541
"ENSG00000006451"	"ENSG00000006451"	0.172877527104433	0.245566425904678
"ENSG00000006453"	"ENSG00000006453"	-0.400630451024309	0.0343421324515105
"ENSG00000006459"	"ENSG00000006459"	-1.01190940069471	3.20217394484716e-05
"ENSG00000006468"	"ENSG00000006468"	0.689724387763136	0.000291544007847931
"ENSG00000006530"	"ENSG00000006530"	0.129856183963958	0.182942054028987
