Gene,Motif Assignment Number
ENSG00000000419,1
ENSG00000000457,1
ENSG00000001167,1
ENSG00000001629,1
ENSG00000001631,1
ENSG00000002919,1
ENSG00000003756,1
ENSG00000003989,1
ENSG00000004059,1
ENSG00000004399,1
ENSG00000004534,1
ENSG00000004700,1
ENSG00000005007,1
ENSG00000005075,1
ENSG00000005156,1
ENSG00000005187,1
ENSG00000005206,1
ENSG00000005302,1
ENSG00000005339,1
ENSG00000005801,1
ENSG00000005810,1
ENSG00000005812,1
ENSG00000005889,1
ENSG00000006015,1
ENSG00000006114,1
ENSG00000006118,1
ENSG00000006125,1
ENSG00000006194,1
ENSG00000006451,1
ENSG00000006453,1
ENSG00000006530,1
ENSG00000006607,1
ENSG00000006712,1
ENSG00000006715,1
ENSG00000007080,1
ENSG00000007341,1
ENSG00000007376,1
ENSG00000007392,1
ENSG00000007520,1
ENSG00000007541,1
ENSG00000007545,1
ENSG00000008018,1
ENSG00000008086,1
ENSG00000008128,1
ENSG00000008130,1
ENSG00000008256,1
ENSG00000008300,1
ENSG00000008382,1
ENSG00000008394,1
ENSG00000008516,1
ENSG00000008838,1
ENSG00000008853,1
ENSG00000008952,1
ENSG00000008988,1
ENSG00000009724,1
ENSG00000009780,1
ENSG00000009790,1
ENSG00000009954,1
ENSG00000010072,1
ENSG00000010270,1
ENSG00000010295,1
ENSG00000010318,1
ENSG00000010404,1
ENSG00000010539,1
ENSG00000011009,1
ENSG00000011021,1
ENSG00000011052,1
ENSG00000011114,1
ENSG00000011132,1
ENSG00000011143,1
ENSG00000011201,1
ENSG00000011304,1
ENSG00000011451,1
ENSG00000011454,1
ENSG00000011523,1
ENSG00000012174,1
ENSG00000013275,1
ENSG00000013523,1
ENSG00000013561,1
ENSG00000013583,1
ENSG00000014164,1
ENSG00000014641,1
ENSG00000014824,1
ENSG00000014919,1
ENSG00000015133,1
ENSG00000015676,1
ENSG00000016864,1
ENSG00000017260,1
ENSG00000018408,1
ENSG00000018510,1
ENSG00000018869,1
ENSG00000019485,1
ENSG00000020129,1
ENSG00000020256,1
ENSG00000020577,1
ENSG00000020922,1
ENSG00000021776,1
ENSG00000022277,1
ENSG00000022840,1
ENSG00000022976,1
ENSG00000023191,1
ENSG00000023228,1
ENSG00000023287,1
ENSG00000023608,1
ENSG00000025156,1
ENSG00000025293,1
ENSG00000025434,1
ENSG00000025770,1
ENSG00000025800,1
ENSG00000026297,1
ENSG00000027697,1
ENSG00000027847,1
ENSG00000029153,1
ENSG00000029364,1
ENSG00000029534,1
ENSG00000029639,1
ENSG00000029725,1
ENSG00000031823,1
ENSG00000032389,1
ENSG00000033178,1
ENSG00000033800,1
ENSG00000034053,1
ENSG00000034533,1
ENSG00000034713,1
ENSG00000035862,1
ENSG00000036054,1
ENSG00000036257,1
ENSG00000036549,1
ENSG00000037637,1
ENSG00000037757,1
ENSG00000038210,1
ENSG00000038358,1
ENSG00000039560,1
ENSG00000039650,1
ENSG00000040199,1
ENSG00000040341,1
ENSG00000040633,1
ENSG00000041357,1
ENSG00000041988,1
ENSG00000042088,1
ENSG00000042445,1
ENSG00000042493,1
ENSG00000042753,1
ENSG00000043093,1
ENSG00000043514,1
ENSG00000044115,1
ENSG00000044446,1
ENSG00000044574,1
ENSG00000046604,1
ENSG00000046647,1
ENSG00000046651,1
ENSG00000047056,1
ENSG00000047188,1
ENSG00000047230,1
ENSG00000047249,1
ENSG00000047315,1
ENSG00000047410,1
ENSG00000047579,1
ENSG00000047644,1
ENSG00000047849,1
ENSG00000048028,1
