Sample,Sample_ID,Lane_run1,Lane_run2,Reads_unmapped_run1,Reads_unmapped_run2,Total_unmapped,Day,Species,Reads_mapped_run1,Reads_mapped_run2,Total_mapped,Reads_mapped_post_subsample_run1,Reads_mapped_post_subsample_run2,Total_mapped_post_subsample
D0_20157,H1A,3,2,14563023,22068188,36631211,0,human,6487665,20923084,27410749,6487665,20923084,27410749
D0_20157_0116,H1B,5,4,6872753,7701576,14574329,0,human,6226046,6998264,13224310,6226046,6998264,13224310
D0_20961,H2,2,1,46981605,10549278,57530883,0,human,45254847,10146255,55401102,45254847,10146255,55401102
D0_21792,H3,2,1,24026383,15835648,39862031,0,human,22921523,15078234,37999757,22921523,15078234,37999757
D0_28162,H4,4,3,13954967,63712124,77667091,0,human,13422447,61402001,74824448,13422447,61402001,74824448
D0_28815,H5A,3,2,4998893,34927894,39926787,0,human,4722627,33045771,37768398,4722627,33045771,37768398
D0_28815_0116,H5B,5,4,31088928,20635102,51724030,0,human,30085280,20010032,50095312,30085280,20010032,50095312
D0_29089,H6,4,3,13794549,16673461,30468010,0,human,13340464,16078743,29419207,13340464,16078743,29419207
D0_3647,C1A,3,2,22090563,21616152,43706715,0,chimp,18676281,18231502,36907783,18676281,18231502,36907783
D0_3647_0116,C1B,5,4,200241022,22323381,222564403,0,chimp,173062587,19235480,192298067,82218765,9125232,91343997
D0_3649,C2A,3,2,14679297,13354014,28033311,0,chimp,12106482,10983133,23089615,12106482,10983133,23089615
D0_3649_0116,C2B,5,4,6466551,7957969,14424520,0,chimp,5509395,6808425,12317820,5509395,6808425,12317820
D0_40300,C3A,2,1,36128529,9295606,45424135,0,chimp,30423408,7786133,38209541,30423408,7786133,38209541
D0_40300_0116,C3B,4,3,25615975,12051518,37667493,0,chimp,21342811,9981619,31324430,21342811,9981619,31324430
D0_4955,C4A,2,1,51233553,56628499,107862052,0,chimp,43378132,47908103,91286235,43378132,47908103,91286235
D0_4955_0116,C4B,4,3,36320101,6996041,43316142,0,chimp,24568295,4693692,29261987,24568295,4693692,29261987
D1_20157,H1A,3,2,52083150,15453634,67536784,1,human,49957428,14836239,64793667,49957428,14836239,64793667
D1_20157_0116,H1B,5,4,6661746,31229170,37890916,1,human,6487665,30495490,36983155,6487665,30495490,36983155
D1_20961,H2,2,1,10973435,16933728,27907163,1,human,10600331,16367177,26967508,10600331,16367177,26967508
D1_21792,H3,2,1,8193994,33358806,41552800,1,human,7762726,31719597,39482323,7762726,31719597,39482323
D1_28162,H4,4,3,11228897,44705698,55934595,1,human,10714836,42849645,53564481,10714836,42849645,53564481
D1_28815,H5A,3,2,12118911,53214762,65333673,1,human,11496740,50611427,62108167,11496740,50611427,62108167
D1_28815_0116,H5B,5,4,29633996,36356604,65990600,1,human,28740161,35304292,64044453,28740161,35304292,64044453
D1_29089,H6,4,3,20379914,16829100,37209014,1,human,19712911,16240262,35953173,19712911,16240262,35953173
D1_3647,C1A,3,2,11008375,20430565,31438940,1,chimp,9254804,17262808,26517612,9254804,17262808,26517612
D1_3647_0116,C1B,5,4,4401847,20129755,24531602,1,chimp,3759081,17230094,20989175,3759081,17230094,20989175
D1_3649 ,C2A,3,2,6728899,27186282,33915181,1,chimp,5420969,21855928,27276897,5420969,21855928,27276897
D1_3649_0116,C2B,5,4,10000727,27692887,37693614,1,chimp,8608607,23923865,32532472,8608607,23923865,32532472
D1_40300 ,C3A,2,1,41589461,11429133,53018594,1,chimp,35770038,9782110,45552148,35770038,9782110,45552148
D1_40300_0116,C3B,4,3,25615975,8890240,34506215,1,chimp,21342811,7467703,28810514,21342811,7467703,28810514
D1_4955 ,C4A,2,1,19837264,13322158,33159422,1,chimp,16666168,11184572,27850740,16666168,11184572,27850740
D1_4955_0116,C4B,4,3,74212947,18529128,92742075,1,chimp,63014926,15632834,78647760,63014926,15632834,78647760
D2_20157 ,H1A,3,2,50815123,4446341,55261464,2,human,48760475,4266018,53026493,48760475,4266018,53026493
D2_20157_0116,H1B,5,4,8445802,15672918,24118720,2,human,8195701,15240550,23436251,8195701,15240550,23436251
D2_20961,H2,2,1,10216477,17124857,27341334,2,human,9734991,16476796,26211787,9734991,16476796,26211787
D2_21792,H3,2,1,16038480,31139708,47178188,2,human,15144493,29439691,44584184,15144493,29439691,44584184
D2_28162,H4,4,3,28075093,43782827,71857920,2,human,27279776,42416167,69695943,27279776,42416167,69695943
D2_28815,H5A,3,2,29754848,22590574,52345422,2,human,28086297,21313548,49399845,28086297,21313548,49399845
D2_28815_0116,H5B,5,4,23947382,33573078,57520460,2,human,23293692,32665654,55959346,23293692,32665654,55959346
D2_29089,H6,4,3,28285581,13428166,41713747,2,human,27422191,12961966,40384157,27422191,12961966,40384157
D2_3647,C1A,3,2,15768794,24195191,39963985,2,chimp,13297582,20506871,33804453,13297582,20506871,33804453
D2_3647_0116,C1B,5,4,4671439,26236419,30907858,2,chimp,3991547,22468243,26459790,3991547,22468243,26459790
D2_3649,C2A,3,2,19300768,21388702,40689470,2,chimp,14755054,16456209,31211263,14755054,16456209,31211263
D2_3649_0116,C2B,5,4,6214445,23003413,29217858,2,chimp,5237921,19627813,24865734,5237921,19627813,24865734
