Sample,Sample_ID,Lane,Reads_unmapped,Day,Species,Individual,Reads_post_trimming,Reads_mapped_ht,Ortho_exon,Ortho_exon_post_subsampling
D0_20157,H1A,3,14563023,0,human,20157,6661746,6487665,3351951,3351951
D0_20157_0116,H1B,5,6872753,0,human,20157,6872752,6226046,2701581,2701581
D0_20961,H2,2,46981605,0,human,20961,46981587,45254847,23175787,23175787
D0_21792,H3,2,24026383,0,human,21792,24026374,22921523,11149219,11149219
D0_28162,H4,4,13954967,0,human,28162,13954962,13422447,6959190,6959190
D0_28815,H5A,3,4998893,0,human,28815,4998891,4722627,2366133,2366133
D0_28815_0116,H5B,5,31088928,0,human,28815,31088910,30085280,15270296,15270296
D0_29089,H6,4,13794549,0,human,29089,13794541,13340464,6993672,6993672
D0_3647,C1A,3,22090563,0,chimp,3647,22090536,18676281,8653814,8653814
D0_3647_0116,C1B,5,200241022,0,chimp,3647,200240976,173062587,77264409,36709708
D0_3649,C2A,3,14679297,0,chimp,3649,14679293,12106482,5469731,5469731
D0_3649_0116,C2B,5,6466551,0,chimp,3649,6466550,5509395,2393318,2393318
D0_40300,C3A,2,36128529,0,chimp,40300,36128524,30423408,13540760,13540760
D0_40300_0116,C3B,4,25615975,0,chimp,40300,25615969,21342811,10581916,10581916
D0_4955,C4A,2,51233553,0,chimp,4955,51233523,43378132,18913384,18913384
D0_4955_0116,C4B,4,36320101,0,chimp,4955,36320096,24568295,10165448,10165448
D1_20157,H1A,3,52083150,1,human,20157,52083131,49957428,25355809,25355809
D1_20157_0116,H1B,5,6661746,1,human,20157,6661746,6487665,3351951,3351951
D1_20961,H2,2,10973435,1,human,20961,10973434,10600331,5492479,5492479
D1_21792,H3,2,8193994,1,human,21792,8193990,7762726,3897818,3897818
D1_28162,H4,4,11228897,1,human,28162,11228893,10714836,5603924,5603924
D1_28815,H5A,3,12118911,1,human,28815,12118909,11496740,5700501,5700501
D1_28815_0116,H5B,5,29633996,1,human,28815,29633988,28740161,14678120,14678120
D1_29089,H6,4,20379914,1,human,29089,20379904,19712911,10245943,10245943
D1_3647,C1A,3,11008375,1,chimp,3647,11008374,9254804,4194179,4194179
D1_3647_0116,C1B,5,4401847,1,chimp,3647,4401844,3759081,1773323,1773323
D1_3649 ,C2A,3,6728899,1,chimp,3649,6728899,5420969,2498620,2498620
D1_3649_0116,C2B,5,10000727,1,chimp,3649,10000723,8608607,3632252,3632252
D1_40300 ,C3A,2,41589461,1,chimp,40300,41589444,35770038,15901625,15901625
D1_40300_0116,C3B,4,25615975,1,chimp,40300,25615969,21342811,10581916,10581916
D1_4955 ,C4A,2,19837264,1,chimp,4955,19837258,16666168,7268274,7268274
D1_4955_0116,C4B,4,74212947,1,chimp,4955,74212928,63014926,30257912,30257912
D2_20157 ,H1A,3,50815123,2,human,20157,50815106,48760475,24488760,24488760
D2_20157_0116,H1B,5,8445802,2,human,20157,8445801,8195701,4172057,4172057
D2_20961,H2,2,10216477,2,human,20961,10216477,9734991,5101940,5101940
D2_21792,H3,2,16038480,2,human,21792,16038472,15144493,7740083,7740083
D2_28162,H4,4,28075093,2,human,28162,28075079,27279776,14298082,14298082
D2_28815,H5A,3,29754848,2,human,28815,29754837,28086297,13932312,13932312
D2_28815_0116,H5B,5,23947382,2,human,28815,23947473,23293692,12052066,12052066
D2_29089,H6,4,28285581,2,human,29089,28285573,27422191,14077544,14077544
D2_3647,C1A,3,15768794,2,chimp,3647,15768786,13297582,6271081,6271081
D2_3647_0116,C1B,5,4671439,2,chimp,3647,4671435,3991547,1833533,1833533
D2_3649,C2A,3,19300768,2,chimp,3649,19300761,14755054,6690758,6690758
D2_3649_0116,C2B,5,6214445,2,chimp,3649,6214442,5237921,2009495,2009495
D2_40300,C3A,2,19414210,2,chimp,40300,19414206,16400266,7210610,7210610
D2_40300_0116,C3B,4,12981033,2,chimp,40300,12981031,10977723,5154714,5154714
D2_4955,C4A,2,11097636,2,chimp,4955,11097633,9357131,3912489,3912489
D2_4955_0116,C4B,4,22178330,2,chimp,4955,22178323,18046281,8215506,8215506
D3_20157,H1A,3,56271900,3,human,20157,56271883,51853977,24518369,24518369
D3_20157_0116,H1B,5,4114091,3,human,20157,4114087,3814642,1918087,1918087
D3_20961,H2,2,10841432,3,human,20961,10841430,9838964,5036478,5036478
D3_21792,H3,2,6623493,3,human,21792,6623487,6296566,3018704,3018704
D3_28162,H4,4,16486124,3,human,28162,16486120,15947311,8363068,8363068
D3_28815,H5A,3,18450523,3,human,28815,18450519,17255394,8511151,8511151
D3_28815_0116,H5B,5,18521973,3,human,28815,18521963,17956508,9118239,9118239
D3_29089,H6,4,23096038,3,human,29089,23096028,22341403,11366051,11366051
D3_3647,C1A,3,9953970,3,chimp,3647,9953968,7537114,3406804,3406804
D3_3647_0116,C1B,5,8433851,3,chimp,3647,8433849,7293159,3232601,3232601
D3_3649,C2A,3,15585138,3,chimp,3649,15585134,13163553,5875140,5875140
D3_3649_0116,C2B,5,5538310,3,chimp,3649,5538306,4521748,1602894,1602894
D3_40300,C3A,2,17494109,3,chimp,40300,17494106,14776726,6592077,6592077
D3_40300_0116,C3B,4,18014482,3,chimp,40300,18014473,15363675,7371554,7371554
D3_4955,C4A,2,22586572,3,chimp,4955,22586564,16876817,6889591,6889591
D3_4955_0116,C4B,4,16275284,3,chimp,4955,16275274,13577642,6452533,6452533
