Sample,Sample_ID,Lane,Reads_unmapped,Day,Species,Reads_post_trimming,Reads_mapped_ht,Ortho_exon,Ortho_exon_post_subsampling
D0_20157,H1A,2,22068188,0,human,22068170,20923084,10354130,10354130
D0_20157_0116,H1B,4,7701576,0,human,7701569,6998264,3043489,3043489
D0_20961,H2,1,10549278,0,human,10549270,10146255,5193076,5193076
D0_21792,H3,1,15835648,0,human,15835637,15078234,7331997,7331997
D0_28162,H4,3,63712124,0,human,63712066,61402001,31904732,31904732
D0_28815,H5A,2,34927894,0,human,34927872,33045771,16544640,16544640
D0_28815_0116,H5B,4,20635102,0,human,20635082,20010032,10161314,10161314
D0_29089,H6,3,16673461,0,human,16673450,16078743,8433534,8433534
D0_3647,C1A,2,21616152,0,chimp,21616094,18231502,8445646,8445646
D0_3647_0116,C1B,4,22323381,0,chimp,22323370,19235480,8596745,4077908
D0_3649,C2A,2,13354014,0,chimp,13354002,10983133,4963998,4963998
D0_3649_0116,C2B,4,7957969,0,chimp,7957964,6808425,2963511,2963511
D0_40300,C3A,1,9295606,0,chimp,9295601,7786133,3465172,3465172
D0_40300_0116,C3B,3,12051518,0,chimp,12051517,9981619,4941092,4941092
D0_4955,C4A,1,56628499,0,chimp,56628457,47908103,20922221,20922221
D0_4955_0116,C4B,3,6996041,0,chimp,6996035,4693692,1938966,1938966
D1_20157,H1A,2,15453634,1,human,15453622,14836239,7486081,7486081
D1_20157_0116,H1B,4,31229170,1,human,31229153,30495490,15757137,15757137
D1_20961,H2,1,16933728,1,human,16933723,16367177,8471742,8471742
D1_21792,H3,1,33358806,1,human,33358785,31719597,15929841,15929841
D1_28162,H4,3,44705698,1,human,44705664,42849645,22400960,22400960
D1_28815,H5A,2,53214762,1,human,53214724,50611427,25067559,25067559
D1_28815_0116,H5B,4,36356604,1,human,36356585,35304292,18035552,18035552
D1_29089,H6,3,16829100,1,human,16829095,16240262,8447184,8447184
D1_3647,C1A,2,20430565,1,chimp,20430556,17262808,7815991,7815991
D1_3647_0116,C1B,4,20129755,1,chimp,20129743,17230094,8113507,8113507
D1_3649 ,C2A,2,27186282,1,chimp,27186267,21855928,10093295,10093295
D1_3649_0116,C2B,4,27692887,1,chimp,27692856,23923865,10092806,10092806
D1_40300 ,C3A,1,11429133,1,chimp,11429124,9782110,4344784,4344784
D1_40300_0116,C3B,3,8890240,1,chimp,8890233,7467703,3636303,3636303
D1_4955 ,C4A,1,13322158,1,chimp,13322158,11184572,4892225,4892225
D1_4955_0116,C4B,3,18529128,1,chimp,18529122,15632834,7521893,7521893
D2_20157 ,H1A,2,4446341,2,human,4446336,4266018,2140164,2140164
D2_20157_0116,H1B,4,15672918,2,human,15672910,15240550,7747786,7747786
D2_20961,H2,1,17124857,2,human,17124845,16476796,8636442,8636442
D2_21792,H3,1,31139708,2,human,31139676,29439691,15012412,15012412
D2_28162,H4,3,43782827,2,human,43782789,42416167,22225874,22225874
D2_28815,H5A,2,22590574,2,human,22590556,21313548,567667,567667
D2_28815_0116,H5B,4,33573078,2,human,33573050,32665654,16890720,16890720
D2_29089,H6,3,13428166,2,human,13428149,12961966,6656080,6656080
D2_3647,C1A,2,24195191,2,chimp,24195174,20506871,9677923,9677923
D2_3647_0116,C1B,4,26236419,2,chimp,26236394,22468243,10336715,10336715
D2_3649,C2A,2,21388702,2,chimp,21388682,16456209,7461561,7461561
D2_3649_0116,C2B,4,23003413,2,chimp,23003392,19627813,7538282,7538282
D2_40300,C3A,1,27329046,2,chimp,27329036,23039768,10149789,10149789
D2_40300_0116,C3B,3,15750765,2,chimp,15750757,13287746,6237849,6237849
D2_4955,C4A,1,13397788,2,chimp,13397777,11263275,4723027,4723027
D2_4955_0116,C4B,3,31364636,2,chimp,31364620,25422883,11584080,11584080
D3_20157,H1A,2,17303989,3,human,17303972,15940286,7483224,7483224
D3_20157_0116,H1B,4,23289131,3,human,23289109,22461119,11463018,11463018
D3_20961,H2,1,22463590,3,human,22463577,20678292,10624121,10624121
D3_21792,H3,1,58089982,3,human,58089956,55458883,26516734,26516734
D3_28162,H4,3,49928206,3,human,49928181,48337220,25374906,25374906
D3_28815,H5A,2,20161894,3,human,20161878,18911048,9329057,9329057
D3_28815_0116,H5B,4,44648090,3,human,44648050,43378074,22013433,22013433
D3_29089,H6,3,13706042,3,human,13706030,13171786,6697434,6697434
D3_3647,C1A,2,37182535,3,chimp,37182502,30368827,14077119,14077119
D3_3647_0116,C1B,4,45411496,3,chimp,45411462,39329331,17456524,17456524
D3_3649,C2A,2,24165457,3,chimp,24165443,20469511,9125600,9125600
D3_3649_0116,C2B,4,9256234,3,chimp,9256225,7643046,2717613,2717613
D3_40300,C3A,1,14412873,3,chimp,12160369,12160369,5413216,5413216
D3_40300_0116,C3B,3,20411045,3,chimp,20411032,18843983,9987437,9987437
D3_4955,C4A,1,16573805,3,chimp,16573797,12680860,5149869,5149869
D3_4955_0116,C4B,3,15847950,3,chimp,15847935,12847924,6035425,6035425
