"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000000003"	"ENSG00000000003"	0.196114087374549	7.33372324972605	1.29542527732325	0.20559704603243	0.459239532260601	-5.83067203822855
"ENSG00000000419"	"ENSG00000000419"	-0.290107329608522	6.22863284663829	-2.07290027032229	0.0473591636443128	0.197818279639788	-4.62095617150943
"ENSG00000000457"	"ENSG00000000457"	0.0325700998124629	4.40616157232275	0.159452680691231	0.874440002942497	0.947647222372685	-6.30915643415053
"ENSG00000000460"	"ENSG00000000460"	0.240201671124917	5.22745914249024	1.56249052462	0.129239957604944	0.353514341163085	-5.39856947118898
"ENSG00000001036"	"ENSG00000001036"	0.293414994371391	6.28470666547412	1.68973458609089	0.102020693062233	0.307101997316527	-5.25746435330578
"ENSG00000001084"	"ENSG00000001084"	-0.0583069549769393	6.85538183275224	-0.497061938415622	0.622968812764988	0.815176142953685	-6.53414530535214
"ENSG00000001167"	"ENSG00000001167"	-0.0877005143440677	5.18379946674755	-0.50420981607035	0.618000554176021	0.812643914016044	-6.39706727953008
"ENSG00000001461"	"ENSG00000001461"	0.688722677059682	3.74382722206611	2.12314996381401	0.0425787760524996	0.185257677399736	-4.19777087358731
"ENSG00000001497"	"ENSG00000001497"	-0.131374720356559	6.81716203856817	-1.21143689502846	0.235704574828256	0.495219964211494	-5.93282880348446
"ENSG00000001561"	"ENSG00000001561"	0.475034287075492	3.34823354246744	1.64491901442929	0.111003486276695	0.324016975239395	-4.91429579834857
"ENSG00000001617"	"ENSG00000001617"	-0.892688634454354	6.66477073550352	-3.1971080206953	0.00339254480342573	0.0358832733001817	-2.21482965020481
"ENSG00000001629"	"ENSG00000001629"	0.0392758138027665	6.53409652718263	0.292489769143154	0.772036875336562	0.899142024808788	-6.60562745352383
"ENSG00000001630"	"ENSG00000001630"	-0.403526315422693	6.08445567943951	-1.44936709371432	0.158180438614679	0.399581083472824	-5.56139198939879
"ENSG00000001631"	"ENSG00000001631"	0.0454073985341488	5.59119979870507	0.313303261751353	0.756338012525944	0.890663643550552	-6.53794138672485
"ENSG00000002330"	"ENSG00000002330"	-0.144826754893069	4.07351732321635	-0.585799012170593	0.562633941242353	0.781632897184585	-6.14930453345936
"ENSG00000002549"	"ENSG00000002549"	0.176068420377717	6.65946936823435	1.42862628970529	0.164010325696213	0.406240960570619	-5.64469263818904
"ENSG00000002822"	"ENSG00000002822"	-0.13097683131428	5.74969024031481	-0.775844995044573	0.444248969468852	0.697583264463128	-6.29586371566205
"ENSG00000002834"	"ENSG00000002834"	-0.162622410939708	9.10445352511746	-0.838863861762649	0.408546072616131	0.667140845045421	-6.28547494803325
"ENSG00000002919"	"ENSG00000002919"	0.0759024970656963	5.4727258252939	0.819308757812901	0.419427918899288	0.677156192821839	-6.21764242182706
"ENSG00000003056"	"ENSG00000003056"	0.527801849779026	8.54144917964229	3.20388835719043	0.00333459820243882	0.0355613312094966	-2.1977169597772
"ENSG00000003096"	"ENSG00000003096"	0.567668952107744	3.64210055890203	2.97378715918374	0.00594015318656604	0.0513053968435679	-2.42965754523071
"ENSG00000003147"	"ENSG00000003147"	0.953397480725189	3.58564656240238	3.74057510413765	0.000824197647857785	0.0143822949051603	-0.735735101662584
"ENSG00000003393"	"ENSG00000003393"	-0.305653341071176	7.00011947327814	-2.0662614102859	0.0480250642737473	0.19937560929762	-4.62709357550176
"ENSG00000003400"	"ENSG00000003400"	-0.918927689783884	3.01292795634313	-3.2115893501612	0.0032699342155274	0.0351705659256726	-1.78051178450854
"ENSG00000003402"	"ENSG00000003402"	-0.908161999761792	4.98956100035216	-2.00586719350585	0.054473076275496	0.214889195230747	-4.41115137562891
"ENSG00000003509"	"ENSG00000003509"	0.600911590160109	5.27706039689348	2.00978282956876	0.0540330319504652	0.213993990797145	-4.66890261623866
"ENSG00000003756"	"ENSG00000003756"	0.00405993827924522	7.37005814419161	0.0236882470123818	0.981266816416355	0.993149056063336	-6.66098348950317
"ENSG00000003989"	"ENSG00000003989"	0.802726706830142	2.20451999113035	1.6285549306329	0.114443412211607	0.328953915929031	-4.88624845583043
