"genes"	"logFC"	"adj.P.Val"
"ENSG00000000003"	"ENSG00000000003"	-0.105674573455341	0.711840968685997
"ENSG00000000419"	"ENSG00000000419"	0.221430419479298	0.27880196613146
"ENSG00000000457"	"ENSG00000000457"	0.0992931784832876	0.723974284765928
"ENSG00000000460"	"ENSG00000000460"	0.451804978824425	0.0293448879758994
"ENSG00000001036"	"ENSG00000001036"	-0.132769249079406	0.631413756185936
"ENSG00000001084"	"ENSG00000001084"	0.192560366919806	0.197333816884823
"ENSG00000001167"	"ENSG00000001167"	0.05497388677896	0.879655735278601
"ENSG00000001461"	"ENSG00000001461"	-0.281516146572586	0.614385929548352
"ENSG00000001497"	"ENSG00000001497"	0.0967130460901329	0.548741903798893
"ENSG00000001561"	"ENSG00000001561"	-0.645756418775942	0.0219391045904608
"ENSG00000001617"	"ENSG00000001617"	0.892831413006712	0.00830260597780827
"ENSG00000001629"	"ENSG00000001629"	0.0671114562054269	0.798732147092907
"ENSG00000001630"	"ENSG00000001630"	-0.0910817550146481	0.866984940661477
"ENSG00000001631"	"ENSG00000001631"	0.17112726608678	0.361452922716122
"ENSG00000002330"	"ENSG00000002330"	-0.297194122697233	0.339533956773882
"ENSG00000002549"	"ENSG00000002549"	0.0548052220589659	0.853488595608248
"ENSG00000002822"	"ENSG00000002822"	-0.283737041401149	0.167739000134889
"ENSG00000002834"	"ENSG00000002834"	-0.300220732278559	0.292273817077514
"ENSG00000002919"	"ENSG00000002919"	0.0632241278749603	0.702147606687418
"ENSG00000003056"	"ENSG00000003056"	0.00497992057821683	0.989732612093332
"ENSG00000003096"	"ENSG00000003096"	0.123444970638883	0.840752085680447
"ENSG00000003147"	"ENSG00000003147"	-0.544664005020056	0.167542561496187
"ENSG00000003393"	"ENSG00000003393"	-0.00134765574920426	0.997997472588201
"ENSG00000003400"	"ENSG00000003400"	-0.235969262454632	0.589484004035512
"ENSG00000003402"	"ENSG00000003402"	-0.150085890593637	0.740920750509075
"ENSG00000003509"	"ENSG00000003509"	0.113704378257161	0.815267917187545
"ENSG00000003756"	"ENSG00000003756"	0.0778494696109737	0.831500878841582
"ENSG00000003989"	"ENSG00000003989"	0.328656946654781	0.781306495005195
"ENSG00000004059"	"ENSG00000004059"	-0.138600779306489	0.649842192895298
"ENSG00000004142"	"ENSG00000004142"	-0.00648214917572076	0.983310742059884
"ENSG00000004399"	"ENSG00000004399"	0.192708492799319	0.755602982790151
"ENSG00000004455"	"ENSG00000004455"	0.391217129937758	0.0301829110802559
"ENSG00000004478"	"ENSG00000004478"	0.404412685663947	0.116783548194722
"ENSG00000004487"	"ENSG00000004487"	0.21606332666734	0.220132421059079
"ENSG00000004534"	"ENSG00000004534"	0.191341445516386	0.4888214639028
"ENSG00000004660"	"ENSG00000004660"	-0.0250750867490561	0.974747269155524
"ENSG00000004700"	"ENSG00000004700"	0.276764326950766	0.0486887407570337
"ENSG00000004766"	"ENSG00000004766"	-0.0100519750383485	0.981095669170002
"ENSG00000004777"	"ENSG00000004777"	0.615873166706373	0.0984381120972441
"ENSG00000004779"	"ENSG00000004779"	0.0454337010457095	0.894652470063218
"ENSG00000004864"	"ENSG00000004864"	0.13364335814957	0.554345619011698
