"genes"	"logFC"	"adj.P.Val"
"ENSG00000000003"	"ENSG00000000003"	-0.04742803068738	0.890282699944942
"ENSG00000000419"	"ENSG00000000419"	0.0836735648208394	0.785290066994198
"ENSG00000000457"	"ENSG00000000457"	-0.223352211881386	0.38819411930476
"ENSG00000000460"	"ENSG00000000460"	0.472659743983412	0.0806598607156218
"ENSG00000001036"	"ENSG00000001036"	0.570026892754438	0.028080627431774
"ENSG00000001084"	"ENSG00000001084"	-0.238122099861981	0.183091065044402
"ENSG00000001167"	"ENSG00000001167"	0.116676284619686	0.739874200596425
"ENSG00000001461"	"ENSG00000001461"	0.495932028207605	0.369596335443178
"ENSG00000001497"	"ENSG00000001497"	0.392715929561906	0.0120252129208679
"ENSG00000001561"	"ENSG00000001561"	-0.0540610744493693	0.908059392406437
"ENSG00000001617"	"ENSG00000001617"	0.252145589857744	0.641280736641464
"ENSG00000001629"	"ENSG00000001629"	-0.217141251331019	0.359838186015704
"ENSG00000001630"	"ENSG00000001630"	0.791205682767148	0.0615800392181617
"ENSG00000001631"	"ENSG00000001631"	-0.0903227616663567	0.722104204838819
"ENSG00000002330"	"ENSG00000002330"	0.02262029659284	0.963255851579946
"ENSG00000002549"	"ENSG00000002549"	0.819397368335948	0.000133040039246299
"ENSG00000002822"	"ENSG00000002822"	0.103943886165518	0.740972271558205
"ENSG00000002834"	"ENSG00000002834"	0.0173282081448486	0.969676733872936
"ENSG00000002919"	"ENSG00000002919"	0.111109953101179	0.500971408021045
"ENSG00000003056"	"ENSG00000003056"	0.545063575906814	0.00989968685859601
"ENSG00000003096"	"ENSG00000003096"	-0.862328853196576	0.0267918320850023
"ENSG00000003147"	"ENSG00000003147"	-0.0696122942715723	0.923175461339736
"ENSG00000003393"	"ENSG00000003393"	-0.0434540621786986	0.88257612485271
"ENSG00000003400"	"ENSG00000003400"	-0.302541380737325	0.573552832805281
"ENSG00000003402"	"ENSG00000003402"	-1.43655392694149	0.00526241412367946
"ENSG00000003509"	"ENSG00000003509"	0.0195179319548365	0.9765816809407
"ENSG00000003756"	"ENSG00000003756"	-0.0879308270028213	0.814627957786175
"ENSG00000003989"	"ENSG00000003989"	-2.98242240924441	0.00197157012146507
"ENSG00000004059"	"ENSG00000004059"	-0.125400276098595	0.719469942102383
"ENSG00000004142"	"ENSG00000004142"	0.288239148099135	0.146187399167789
"ENSG00000004399"	"ENSG00000004399"	0.569625344715228	0.389812749951403
"ENSG00000004455"	"ENSG00000004455"	-0.0648789882877076	0.825770158682365
"ENSG00000004478"	"ENSG00000004478"	0.173656718943341	0.655624960307367
"ENSG00000004487"	"ENSG00000004487"	-0.100809097953123	0.674526208477613
"ENSG00000004534"	"ENSG00000004534"	-0.193045797894361	0.549988720036541
"ENSG00000004660"	"ENSG00000004660"	0.126706136168622	0.848222027587923
"ENSG00000004700"	"ENSG00000004700"	-0.123946328232252	0.555019558783542
"ENSG00000004766"	"ENSG00000004766"	-0.284105734087812	0.341600297477589
"ENSG00000004777"	"ENSG00000004777"	0.158196311207579	0.802601312714724
"ENSG00000004779"	"ENSG00000004779"	0.129279031628814	0.673529782776897
"ENSG00000004864"	"ENSG00000004864"	-0.307356154683262	0.169761158060659
"ENSG00000004866"	"ENSG00000004866"	0.703408638741508	0.0198833780163789
