"genes"	"logFC"	"adj.P.Val"
"ENSG00000000419"	"ENSG00000000419"	-0.745013062909035	1.57052784568213e-05
"ENSG00000000457"	"ENSG00000000457"	0.954396726220065	7.4540009606774e-08
"ENSG00000001084"	"ENSG00000001084"	-0.281010596412337	0.0243601600704127
"ENSG00000001461"	"ENSG00000001461"	0.76420024088169	0.023092731422706
"ENSG00000001497"	"ENSG00000001497"	-0.505416007964566	1.73719970067026e-05
"ENSG00000001561"	"ENSG00000001561"	0.482020131093433	0.0458219422806789
"ENSG00000001630"	"ENSG00000001630"	0.732927876086112	0.0175310295437145
"ENSG00000002330"	"ENSG00000002330"	0.503335368545764	0.0411823890699216
"ENSG00000002549"	"ENSG00000002549"	1.16050842899741	4.85159608114277e-11
"ENSG00000002919"	"ENSG00000002919"	0.57624691330515	6.7539105431043e-08
"ENSG00000003096"	"ENSG00000003096"	1.22031429767054	2.72123451528487e-06
"ENSG00000003147"	"ENSG00000003147"	-1.67053682394897	2.93862272181354e-06
"ENSG00000003400"	"ENSG00000003400"	0.857213507184871	0.0196343122791613
"ENSG00000003509"	"ENSG00000003509"	-0.952100335494452	0.00102853454038359
"ENSG00000003989"	"ENSG00000003989"	-2.12552934996998	0.00308269303728463
"ENSG00000004059"	"ENSG00000004059"	-0.493476163035464	0.0146858091513566
"ENSG00000004399"	"ENSG00000004399"	-1.53006610798857	0.000380826228211044
"ENSG00000004478"	"ENSG00000004478"	-0.662292507567599	0.00256955077665077
"ENSG00000004700"	"ENSG00000004700"	-0.413449935186249	0.00106972826533022
"ENSG00000004766"	"ENSG00000004766"	-0.571414837220128	0.00193663110632227
"ENSG00000004897"	"ENSG00000004897"	0.289652299423553	0.0147643248138739
"ENSG00000005020"	"ENSG00000005020"	0.995305962818817	0.000166193024771759
"ENSG00000005022"	"ENSG00000005022"	-0.492502861281523	0.0133313722874591
"ENSG00000005059"	"ENSG00000005059"	0.622953807742305	0.00656158863762176
"ENSG00000005156"	"ENSG00000005156"	-0.848098406643986	2.91737209846471e-09
"ENSG00000005175"	"ENSG00000005175"	-0.370345369962206	0.00302714884561587
"ENSG00000005187"	"ENSG00000005187"	0.950679613666351	1.30693269672386e-05
"ENSG00000005189"	"ENSG00000005189"	0.853692078248564	1.19463182117195e-05
"ENSG00000005700"	"ENSG00000005700"	-0.414710787969117	0.0045343766023214
"ENSG00000005882"	"ENSG00000005882"	-0.768953963587018	0.014619405606059
"ENSG00000005884"	"ENSG00000005884"	-2.04984078345227	0.00106047946482133
"ENSG00000005893"	"ENSG00000005893"	-0.695754776015292	3.94824117034027e-05
"ENSG00000006015"	"ENSG00000006015"	1.21604473855858	7.59003147614664e-06
"ENSG00000006042"	"ENSG00000006042"	-1.63320012723228	1.26549997818869e-08
"ENSG00000006114"	"ENSG00000006114"	-0.784555295283916	1.83781443915558e-05
"ENSG00000006118"	"ENSG00000006118"	0.746927200311925	4.4907798076126e-05
"ENSG00000006125"	"ENSG00000006125"	-0.273134143428394	0.0450771341227529
"ENSG00000006453"	"ENSG00000006453"	-0.674554421437914	0.000808624223973666
"ENSG00000006468"	"ENSG00000006468"	0.579798166410452	0.0068649291928571
"ENSG00000006530"	"ENSG00000006530"	0.659978201960523	6.53656205262849e-09
"ENSG00000006625"	"ENSG00000006625"	-0.80637298689915	0.000107061502007975
"ENSG00000006634"	"ENSG00000006634"	-0.771245987069139	1.21099632526737e-05
"ENSG00000006695"	"ENSG00000006695"	0.343396832684783	0.012099604387393
"ENSG00000006712"	"ENSG00000006712"	0.198107534977426	0.0466279285355737
"ENSG00000006744"	"ENSG00000006744"	-0.965530586067469	1.23039180446488e-12
"ENSG00000006757"	"ENSG00000006757"	-2.02456906394977	1.82950264000709e-13
"ENSG00000006837"	"ENSG00000006837"	-0.938276134157876	5.64775499374023e-11
"ENSG00000007047"	"ENSG00000007047"	0.435824827495902	0.0183154158703228
"ENSG00000007062"	"ENSG00000007062"	1.87352515382388	3.32597419850187e-11
"ENSG00000007080"	"ENSG00000007080"	-1.05300134689986	4.61366339836465e-07
"ENSG00000007168"	"ENSG00000007168"	0.23851421839627	0.0198836186689591
"ENSG00000007341"	"ENSG00000007341"	0.912930485971257	1.42589807202829e-10
"ENSG00000007376"	"ENSG00000007376"	-1.1933288127452	2.28867753554235e-10
"ENSG00000007520"	"ENSG00000007520"	-0.839651890608708	2.65210658824996e-05
"ENSG00000007541"	"ENSG00000007541"	0.650113080167054	0.000769636033366219
"ENSG00000007923"	"ENSG00000007923"	-0.337717666930787	0.0331938780844486
"ENSG00000008130"	"ENSG00000008130"	0.275606848390382	0.0388743232087163
"ENSG00000008283"	"ENSG00000008283"	-2.20610152991197	8.06898490944331e-12
"ENSG00000008300"	"ENSG00000008300"	-0.613682132464586	0.0330253004021496
"ENSG00000008311"	"ENSG00000008311"	-0.936600427856536	0.0133066657588639
"ENSG00000008394"	"ENSG00000008394"	0.506698649803873	0.00218095229591082
"ENSG00000008838"	"ENSG00000008838"	-0.420543309327801	0.000748563192553755
"ENSG00000008853"	"ENSG00000008853"	0.547117293446147	0.000335755900200484
"ENSG00000008869"	"ENSG00000008869"	-0.701379610140572	0.000811704925893666
"ENSG00000008988"	"ENSG00000008988"	-1.15810770816035	9.27284353519129e-07
"ENSG00000009413"	"ENSG00000009413"	0.479577628487271	0.012991108796664
"ENSG00000009830"	"ENSG00000009830"	0.323570897908376	0.0212557183507007
"ENSG00000010017"	"ENSG00000010017"	0.278565558457001	0.0258314618699135
"ENSG00000010072"	"ENSG00000010072"	0.299869092376539	0.00589197325055737
"ENSG00000010165"	"ENSG00000010165"	-1.01513647351676	1.76807889138451e-07
"ENSG00000010219"	"ENSG00000010219"	1.04724509058485	5.04587786702531e-05
"ENSG00000010244"	"ENSG00000010244"	0.345692773763831	0.00724850336902787
"ENSG00000010270"	"ENSG00000010270"	-0.612716634266367	0.000234553335093955
"ENSG00000010278"	"ENSG00000010278"	1.19040319996364	2.30586369608043e-06
"ENSG00000010318"	"ENSG00000010318"	-1.29178640491297	1.29971807940265e-06
"ENSG00000010322"	"ENSG00000010322"	0.988240570965023	6.92305825718969e-08
"ENSG00000010361"	"ENSG00000010361"	-0.624272553801193	0.00621064275427611
"ENSG00000010404"	"ENSG00000010404"	1.75165597752753	1.02825850212622e-06
"ENSG00000010818"	"ENSG00000010818"	-0.953230591903836	0.0190630651977805
"ENSG00000011009"	"ENSG00000011009"	0.345150171889011	0.0144018010729176
"ENSG00000011028"	"ENSG00000011028"	-1.08697563747272	0.00272252122661214
"ENSG00000011052"	"ENSG00000011052"	-1.57154729670995	7.73231267063286e-13
"ENSG00000011105"	"ENSG00000011105"	-1.91152485013352	3.52312030469696e-06
"ENSG00000011114"	"ENSG00000011114"	0.443035007474651	0.0045343766023214
"ENSG00000011132"	"ENSG00000011132"	0.879849128953451	1.4039572548746e-06
"ENSG00000011143"	"ENSG00000011143"	0.342606190933035	0.0247346720789923
"ENSG00000011258"	"ENSG00000011258"	-0.567870437360984	0.0434625539900927
"ENSG00000011275"	"ENSG00000011275"	0.339512326522087	0.0484074972660018
"ENSG00000011304"	"ENSG00000011304"	-1.79787861357616	2.24746034736491e-08
"ENSG00000011405"	"ENSG00000011405"	-0.592009481943778	7.25801416798819e-05
"ENSG00000011566"	"ENSG00000011566"	-0.652017705265034	7.70939928727147e-05
"ENSG00000011638"	"ENSG00000011638"	2.05711987401548	2.11362666002933e-17
"ENSG00000012061"	"ENSG00000012061"	0.831794712676647	1.07947773094301e-06
"ENSG00000012963"	"ENSG00000012963"	0.659324516214319	1.15900109771389e-06
"ENSG00000012983"	"ENSG00000012983"	-0.598654307038085	0.000331401698796231
"ENSG00000013306"	"ENSG00000013306"	-0.715589459957003	2.15502675678979e-06
"ENSG00000013364"	"ENSG00000013364"	4.40238105002237	3.23398635729165e-24
"ENSG00000013375"	"ENSG00000013375"	0.443925714393886	0.0053971504677964
"ENSG00000013503"	"ENSG00000013503"	-0.60234433681451	0.00184287510420159
"ENSG00000013523"	"ENSG00000013523"	0.621040030636738	0.000610967375660933
"ENSG00000013561"	"ENSG00000013561"	-1.16621584297363	3.16716870054992e-07
"ENSG00000013583"	"ENSG00000013583"	1.72476127773554	1.73080466255489e-08
"ENSG00000014216"	"ENSG00000014216"	-0.5329852880792	0.000495736275003851
"ENSG00000014641"	"ENSG00000014641"	1.20345041537485	6.80395558597763e-11
"ENSG00000014914"	"ENSG00000014914"	0.809892863246229	0.0367952105041029
"ENSG00000014919"	"ENSG00000014919"	0.333227116268885	0.00328434726108671
"ENSG00000015133"	"ENSG00000015133"	-0.660577197123223	0.0169278165870081
"ENSG00000015153"	"ENSG00000015153"	1.42411452434708	0.00135188158422178
"ENSG00000015475"	"ENSG00000015475"	0.607638457712867	0.00106002996204879
"ENSG00000015532"	"ENSG00000015532"	0.60209587659776	0.0306776900265394
"ENSG00000015676"	"ENSG00000015676"	0.515547792947668	7.29451649049847e-05
"ENSG00000016391"	"ENSG00000016391"	0.810599633852481	6.99302482103236e-05
"ENSG00000018625"	"ENSG00000018625"	1.42479978114694	0.00803562695114735
"ENSG00000018869"	"ENSG00000018869"	1.02897322252897	0.000296333380000243
"ENSG00000020181"	"ENSG00000020181"	2.9547658441846	8.62592901742856e-06
"ENSG00000020256"	"ENSG00000020256"	0.46623332405166	0.00153240469708304
"ENSG00000020426"	"ENSG00000020426"	0.30998948282269	0.0402934744635008
"ENSG00000021355"	"ENSG00000021355"	-1.29355315100494	0.00113305348845508
"ENSG00000022277"	"ENSG00000022277"	-0.512764288905465	5.49873869117417e-05
"ENSG00000023041"	"ENSG00000023041"	0.400157029960504	0.0126670813354604
"ENSG00000023228"	"ENSG00000023228"	0.778962454812596	6.80395558597763e-11
"ENSG00000023318"	"ENSG00000023318"	-0.516092796337109	0.00111649755818788
"ENSG00000023608"	"ENSG00000023608"	-0.473966972667637	0.0336052778231826
"ENSG00000023697"	"ENSG00000023697"	1.97936261767759	2.16927818069199e-15
"ENSG00000024526"	"ENSG00000024526"	0.602635264042535	0.0115255175683966
"ENSG00000025156"	"ENSG00000025156"	0.376562742583411	0.049694437359636
"ENSG00000025772"	"ENSG00000025772"	0.909427246958618	4.96258391055091e-06
"ENSG00000026025"	"ENSG00000026025"	1.90674773432524	0.000107645810623406
"ENSG00000026652"	"ENSG00000026652"	0.526220494589988	0.0431544196818961
