Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	MP ID	Term
TSPAN6	current symbol	MGI:1926264	Tspan6	tetraspanin 6	protein coding gene	
DPM1	current symbol	MGI:1330239	Dpm1	dolichol-phosphate (beta-D) mannosyltransferase 1	protein coding gene	MP:0010052	increased grip strength
DPM1	current symbol	MGI:1330239	Dpm1	dolichol-phosphate (beta-D) mannosyltransferase 1	protein coding gene	MP:0013294	prenatal lethality prior to heart atrial septation
DPM1	current symbol	MGI:1330239	Dpm1	dolichol-phosphate (beta-D) mannosyltransferase 1	protein coding gene	MP:0011100	preweaning lethality, complete penetrance
SNX11	current symbol	MGI:1921729	Snx11	sorting nexin 11	protein coding gene	
ALS2	current symbol	MGI:1921268	Als2	alsin Rho guanine nucleotide exchange factor	protein coding gene	MP:0005402	abnormal action potential
ALS2	current symbol	MGI:1921268	Als2	alsin Rho guanine nucleotide exchange factor	protein coding gene	MP:0004768	abnormal axonal transport
ALS2	current symbol	MGI:1921268	Als2	alsin Rho guanine nucleotide exchange factor	protein coding gene	MP:0005404	abnormal axon morphology
ALS2	current symbol	MGI:1921268	Als2	alsin Rho guanine nucleotide exchange factor	protein coding gene	MP:0002878	abnormal corticospinal tract morphology
ALS2	current symbol	MGI:1921268	Als2	alsin Rho guanine nucleotide exchange factor	protein coding gene	MP:0002804	abnormal motor learning
ALS2	current symbol	MGI:1921268	Als2	alsin Rho guanine nucleotide exchange factor	protein coding gene	MP:0000940	abnormal motor neuron innervation pattern
ALS2	current symbol	MGI:1921268	Als2	alsin Rho guanine nucleotide exchange factor	protein coding gene	MP:0000937	abnormal motor neuron morphology
ALS2	current symbol	MGI:1921268	Als2	alsin Rho guanine nucleotide exchange factor	protein coding gene	MP:0001053	abnormal neuromuscular synapse morphology
ALS2	current symbol	MGI:1921268	Als2	alsin Rho guanine nucleotide exchange factor	protein coding gene	MP:0002882	abnormal neuron morphology
ALS2	current symbol	MGI:1921268	Als2	alsin Rho guanine nucleotide exchange factor	protein coding gene	MP:0004262	abnormal physical strength
ALS2	current symbol	MGI:1921268	Als2	alsin Rho guanine nucleotide exchange factor	protein coding gene	MP:0000877	abnormal Purkinje cell morphology
ALS2	current symbol	MGI:1921268	Als2	alsin Rho guanine nucleotide exchange factor	protein coding gene	MP:0003084	abnormal skeletal muscle fiber morphology
ALS2	current symbol	MGI:1921268	Als2	alsin Rho guanine nucleotide exchange factor	protein coding gene	MP:0009409	abnormal skeletal muscle fiber type ratio
ALS2	current symbol	MGI:1921268	Als2	alsin Rho guanine nucleotide exchange factor	protein coding gene	MP:0003993	abnormal ventral spinal root morphology
ALS2	current symbol	MGI:1921268	Als2	alsin Rho guanine nucleotide exchange factor	protein coding gene	MP:0003354	astrocytosis
