Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	MP ID	Term
DVL2	current symbol	MGI:106613	Dvl2	dishevelled segment polarity protein 2	protein coding gene	MP:0000150	abnormal rib morphology
DVL2	current symbol	MGI:106613	Dvl2	dishevelled segment polarity protein 2	protein coding gene	MP:0001688	abnormal somite development
DVL2	current symbol	MGI:106613	Dvl2	dishevelled segment polarity protein 2	protein coding gene	MP:0003047	abnormal thoracic vertebrae morphology
DVL2	current symbol	MGI:106613	Dvl2	dishevelled segment polarity protein 2	protein coding gene	MP:0000137	abnormal vertebrae morphology
DVL2	current symbol	MGI:106613	Dvl2	dishevelled segment polarity protein 2	protein coding gene	MP:0000159	abnormal xiphoid process morphology
DVL2	current symbol	MGI:106613	Dvl2	dishevelled segment polarity protein 2	protein coding gene	MP:0001575	cyanosis
DVL2	current symbol	MGI:106613	Dvl2	dishevelled segment polarity protein 2	protein coding gene	MP:0000284	double outlet right ventricle
DVL2	current symbol	MGI:106613	Dvl2	dishevelled segment polarity protein 2	protein coding gene	MP:0000914	exencephaly
DVL2	current symbol	MGI:106613	Dvl2	dishevelled segment polarity protein 2	protein coding gene	MP:0005377	hearing/vestibular/ear phenotype
DVL2	current symbol	MGI:106613	Dvl2	dishevelled segment polarity protein 2	protein coding gene	MP:0000585	kinked tail
DVL2	current symbol	MGI:106613	Dvl2	dishevelled segment polarity protein 2	protein coding gene	MP:0000929	open neural tube
DVL2	current symbol	MGI:106613	Dvl2	dishevelled segment polarity protein 2	protein coding gene	MP:0011090	perinatal lethality, incomplete penetrance
DVL2	current symbol	MGI:106613	Dvl2	dishevelled segment polarity protein 2	protein coding gene	MP:0002633	persistent truncus arteriosis
DVL2	current symbol	MGI:106613	Dvl2	dishevelled segment polarity protein 2	protein coding gene	MP:0000153	rib bifurcation
DVL2	current symbol	MGI:106613	Dvl2	dishevelled segment polarity protein 2	protein coding gene	MP:0000154	rib fusion
