Line	Day	Sex	Species	LineDay
D0_20157	20157	0	F	H	20157_0
D0_20961	20961	0	M	H	20961_0
D0_21792	21792	0	F	H	21792_0
D0_28162	28126	0	M	H	28162_0
D0_28815	28815	0	M	H	28815_0
D0_29089	29089	0	F	H	29089_0
D0_3647	3647	0	F	C	3647_0
D0_3649	3649	0	M	C	3649_0
D0_40300	40300	0	F	C	40300_0
D0_4955	4955	0	M	C	4955_0
D1_20157	20157	1	F	H	20157_1
D1_20961	20961	1	M	H	20961_1
D1_21792	21792	1	F	H	21792_1
D1_28162	28126	1	M	H	28126_1
D1_28815	28815	1	M	H	28815_1
D1_29089	29089	1	F	H	29089_1
D1_3647	3647	1	F	C	3647_1
D1_3649	3649	1	M	C	3649_1
D1_40300	40300	1	F	C	40300_1
D1_4955	4955	1	M	C	4955_1
D2_20157	20157	2	F	H	20157_2
D2_20961	20961	2	M	H	20961_2
D2_21792	21792	2	F	H	21792_2
D2_28162	28126	2	M	H	28126_2
D2_28815	28815	2	M	H	28815_2
D2_29089	29089	2	F	H	29089_2
D2_3647	3647	2	F	C	3647_2
D2_3649	3649	2	M	C	3649_2
D2_40300	40300	2	F	C	40300_2
D2_4955	4955	2	M	C	4955_2
D3_20157	20157	3	F	H	20157_3
D3_20961	20961	3	M	H	20961_3
D3_21792	21792	3	F	H	21792_3
D3_28162	28126	3	M	H	28126_3
D3_28815	28815	3	M	H	28815_3
D3_29089	29089	3	F	H	29089_3
D3_3647	3647	3	F	C	3647_3
D3_3649	3649	3	M	C	3649_3
D3_40300	40300	3	F	C	40300_3
D3_4955	4955	3	M	C	4955_3
