Chimpanzee Human
ENSG00000000457 0.803514458835642 0.626871168624178
ENSG00000000460 0.126249077956172 0.0858754769125536
ENSG00000001036 0.463228409881934 0.746323223389794
ENSG00000001084 0.202934350521364 0.215312000707204
ENSG00000001167 0.88420636505925 0.0536366719809557
ENSG00000001461 0.855658074531339 0.206977887632008
ENSG00000001497 0.815582996088735 0.256143692396558
ENSG00000001617 0.724508377228548 0.11546084785686
ENSG00000001629 0.719969225639593 0.167071539635494
ENSG00000001630 0.183302459019221 0.117508404832942
ENSG00000001631 0.628971288723191 0.894950801645021
ENSG00000002330 0.408545219668473 0.0998627357677009
ENSG00000002549 0.738873811397346 0.120415978560869
ENSG00000002822 0.47714578911793 0.455290781453779
ENSG00000002834 0.334735932061451 0.0800897282809749
ENSG00000003056 0.609228298248227 0.503554811547741
ENSG00000003096 0.514227226072128 0.446603332512417
ENSG00000003147 0.969754389463688 0.732029581947735
ENSG00000003400 0.959049547461058 0.673127295534866
ENSG00000003402 0.459133383887459 0.950009620204887
ENSG00000003509 0.526019908025442 0.0841804654325884
ENSG00000003756 0.942504500929602 0.0947540264321505
ENSG00000003989 0.34364003519309 0.230542661660203
ENSG00000004142 0.0952409762577637 0.0553491458948223
ENSG00000004399 0.947591099514069 0.188969074555099
ENSG00000004455 0.215479545906433 0.504360184665735
ENSG00000004478 0.746039192366448 0.430818952743926
ENSG00000004487 0.497661463179938 0.0601631965325344
ENSG00000004534 0.505434065944898 0.600363914004179
ENSG00000004660 0.970329973876964 0.122608314065374
ENSG00000004700 0.459157913111948 0.255621762348937
ENSG00000004766 0.601257800630549 0.0570682779995674
ENSG00000004864 0.389429930709082 0.653069084444397
ENSG00000004866 0.77850514360593 0.0924400331258316
ENSG00000004897 0.26739775541508 0.195246504246525
ENSG00000004948 0.117189258624444 0.0617764259614184
ENSG00000004961 0.700125823242215 0.122804959903291
ENSG00000005007 0.822053833806813 0.107194996969928
ENSG00000005020 0.327328224698116 0.577257675188531
ENSG00000005059 0.312936165966169 0.077950591577407
ENSG00000005156 0.43300265168917 0.496283366246588
ENSG00000005175 0.117960694988958 0.123300797324134
ENSG00000005189 0.601809153100995 0.574500711579819
ENSG00000005206 0.0621320442416659 0.0902876569798986
ENSG00000005238 0.45678048475555 0.0843083939337719
ENSG00000005249 0.907712699103222 0.326728285150432
ENSG00000005302 0.0774323898662324 0.811412939208414
ENSG00000005379 0.69487000461564 0.533915822025183
ENSG00000005436 0.604616830269518 0.880990520989608
ENSG00000005469 0.735779755353834 0.0850334875206764
ENSG00000005486 0.700560196413525 0.598789556236764
ENSG00000005700 0.316863790687748 0.0578873447780215
ENSG00000005801 0.247564505400325 0.903253252033623
ENSG00000005812 0.0653645540316281 0.178761180046393
ENSG00000005882 0.138945864357173 0.63374714795812
ENSG00000005884 0.501467030618078 0.433541789593643
ENSG00000005889 0.631991862322016 0.854635772122441
ENSG00000005893 0.281323791673136 0.758839100657886
ENSG00000006007 0.996445680784158 0.940112261307795
ENSG00000006016 0.922112041639874 0.611561315481746
ENSG00000006025 0.0813398314368888 0.734215220513336
ENSG00000006062 0.737617055309326 0.0515959130933314
ENSG00000006125 0.556274476156373 0.514112007132463
ENSG00000006282 0.0894022981533154 0.688368439905348
ENSG00000006327 0.687260250366199 0.0874586183504763
ENSG00000006432 0.816843017417205 0.0539868099644765
ENSG00000006451 0.787849072502301 0.0676633488072683
ENSG00000006453 0.148145273508217 0.260338707830311
ENSG00000006459 0.289747028227952 0.296083861084673
ENSG00000006468 0.603146116421473 0.941681481338465
ENSG00000006530 0.777208821783619 0.382554732333689
ENSG00000006607 0.215400295561173 0.079387365597567
ENSG00000006625 0.439300149848373 0.0830100937703928
ENSG00000006634 0.342954193038491 0.557186865763108
ENSG00000006695 0.302865103830594 0.315890012943291
ENSG00000006704 0.279761961876689 0.405801440481245
ENSG00000006712 0.998502710356747 0.631418893555501
ENSG00000006715 0.676010444106347 0.493541641541257
ENSG00000006740 0.672183786997286 0.555899258732002
ENSG00000006744 0.0825149271907502 0.195073828031941
ENSG00000006757 0.102634796948361 0.348002419795941
ENSG00000006831 0.123892446737081 0.53820605627748
ENSG00000006837 0.133124101168708 0.69923586410992
ENSG00000007062 0.980437844476291 0.706461006858696
ENSG00000007237 0.861745829665171 0.108794299201724
ENSG00000007341 0.374783986702174 0.438694724000007
ENSG00000007376 0.524255332870068 0.116199025903591
ENSG00000007384 0.902023648271841 0.50241135508293
ENSG00000007402 0.594718617216275 0.378983042565079
ENSG00000007516 0.0720153805062516 0.386911445075852
ENSG00000007541 0.216871531353686 0.188222561166792
ENSG00000007866 0.872129529481523 0.52466629911665
ENSG00000007923 0.963901705803693 0.43823097209375
ENSG00000007944 0.832341072968156 0.48144340496348
ENSG00000007968 0.373367308650246 0.298405720269082
ENSG00000008083 0.99879706312584 0.115016779996705
ENSG00000008128 0.296568484753221 0.223761547028808
ENSG00000008256 0.549417097999944 0.0708372164078032
ENSG00000008277 0.466789727173199 0.31720427227107
