Chimpanzee Human
ENSG00000004975 0.0738331921158389 0.0105826752319025
ENSG00000005810 0.0471236928651118 0.0457631624154003
ENSG00000007080 0.0794362463763261 0.00688129636566603
ENSG00000008300 0.00228160504358921 0.0119124033007206
ENSG00000014641 0.0366433894101921 0.024610785631546
ENSG00000021776 0.0362001111611758 0.00655213901177132
ENSG00000034063 0.0123839009209905 0.0173500488526468
ENSG00000038382 0.0932568938851104 0.0277196310015758
ENSG00000048162 0.00457481078881439 0.040988185925208
ENSG00000053372 0.0288616892563587 0.00459419842857489
ENSG00000054965 0.0330833044434609 0.0267803297136988
ENSG00000055070 0.00461918394863092 0.0239659384730929
ENSG00000063169 0.0972512694319509 0.0107832978420939
ENSG00000063587 0.00547048450435206 0.00715829629775011
ENSG00000063978 0.0453631461557154 0.00867774197861326
ENSG00000064995 0.0388895019702882 0.0195045472592734
ENSG00000065243 0.0837296563976443 0.0401016746309404
ENSG00000065320 0.045726815394002 0.0330256259885142
ENSG00000067829 0.0136504488243633 0.00913895467244363
ENSG00000068305 0.0504090046079044 0.0267553280225943
ENSG00000070010 0.0746409164466272 0.0437886109787562
ENSG00000071462 0.00653244113859797 0.0383057193169052
ENSG00000072401 0.0338921072702212 0.0129457228272978
ENSG00000074603 0.0652811391763706 0.00490338243359489
ENSG00000075089 0.0947721217587608 0.004690791886238
ENSG00000076201 0.0249014928800275 0.00245169170069204
ENSG00000078061 0.0678688294282241 0.04235139813563
ENSG00000081154 0.0882071662534356 0.0161057705245744
ENSG00000082898 0.0122759252816964 0.00129491367607315
ENSG00000083312 0.0267751450643332 0.000163308301601384
ENSG00000083937 0.0343053057818876 0.0182385133944668
ENSG00000084112 0.0860774019968262 0.00157698523603367
ENSG00000085644 0.0146850006629992 0.0334961755165745
ENSG00000088038 0.0587127140752651 0.00610247974183187
ENSG00000088451 0.0148220269504724 0.0168111203535971
ENSG00000089248 0.0340870249154168 0.0335605249345947
ENSG00000090273 0.0990342963861484 0.0480905136825898
ENSG00000090905 0.0401788465023274 0.000102863051188562
ENSG00000090924 0.0213874266682164 2.92556658290088e-05
ENSG00000091140 0.0299879148504782 0.0166206316414982
ENSG00000091656 0.041624782674417 0.0294628818645053
ENSG00000093100 0.0949384973620213 0.00130046745237988
ENSG00000095951 0.0405150717447735 0.0490989854502084
ENSG00000097096 0.0730941099118 0.0225765040771778
ENSG00000099381 0.0139163742828795 0.00569205596751687
ENSG00000099800 0.0748382597882988 0.00757333761142354
ENSG00000099849 0.0869993636398266 0.00117228404440139
ENSG00000100056 0.0908820332701863 0.0226463547781052
ENSG00000100243 0.0386042341358761 0.00873707176621163
ENSG00000100395 0.0888135260844078 0.0124539650148783
ENSG00000100422 0.00486540822548098 0.00357242726924478
ENSG00000100503 0.0135253359529257 0.0184341492195328
ENSG00000100526 0.00975425805009777 0.0179860406034309
ENSG00000100764 0.00253101024433411 0.0220598548375903
ENSG00000100842 0.0192719986794394 0.0469739674139836
ENSG00000101421 0.0160213996685381 0.0313748227727871
ENSG00000103197 0.0840657356914594 0.0006934249452899
ENSG00000103222 0.0287055955269222 0.000418417048088759
ENSG00000103335 0.0302940925131193 0.00800217382077628
ENSG00000103381 0.00239561468197569 0.0343620560836383
ENSG00000104365 0.0334297879900244 0.0182194472117809
ENSG00000104369 0.00719717497880679 0.00291963464035538
ENSG00000104852 0.0542698325693339 0.00959453989038517
ENSG00000104885 0.0994098033073458 0.0152255128330064
ENSG00000105197 0.0781776266727757 0.00282199412349082
